timestamp,device_id,zone,temperature_c,humidity_pct,pressure_hpa,voltage_v,vibration_g,rssi_dbm,fault,state
2024-05-01 00:00:00,SN-002,line-2,23.08,57.47,1015.09,3.679,0.272,-64.6,0,normal
2024-05-01 00:03:00,SN-010,line-1,21.55,53.35,1015.91,3.661,0.348,-67.3,0,normal
2024-05-01 00:06:00,SN-008,warehouse,23.5,46.99,1017.22,3.686,0.498,-61.6,0,normal
2024-05-01 00:09:00,SN-006,warehouse,21.01,46.76,1012.22,3.687,0.22,-59.8,0,normal
2024-05-01 00:12:00,SN-006,warehouse,20.8,51.97,1014.23,3.699,0.729,-56.1,0,normal
2024-05-01 00:15:00,SN-011,line-1,22.68,49.06,1016.17,3.689,0.293,-58.4,0,normal
2024-05-01 00:18:00,SN-002,line-2,22.58,55.87,1016.85,3.721,1.289,-67.6,0,normal
2024-05-01 00:21:00,SN-009,line-2,23.11,53.42,1009.87,3.704,0.341,-67.6,0,normal
2024-05-01 00:24:00,SN-003,warehouse,22.1,54.98,1014.55,3.715,0.107,-52.4,0,normal
2024-05-01 00:27:00,SN-002,line-2,24.89,48.61,1009.87,3.719,0.646,-55.7,0,normal
2024-05-01 00:30:00,SN-007,line-1,22.99,54.72,1011.45,3.728,0.436,-57.8,0,normal
2024-05-01 00:33:00,SN-012,warehouse,23.07,48.36,1009.68,3.719,0.741,-62.3,0,normal
2024-05-01 00:36:00,SN-009,line-2,23.03,53.72,1011.4,3.682,1.191,-52.3,0,normal
2024-05-01 00:39:00,SN-010,line-1,23.92,56.6,1009.28,3.717,0.221,-56.7,0,normal
2024-05-01 00:42:00,SN-009,line-2,23.45,52.24,1009.97,3.706,1.66,-60.0,0,normal
2024-05-01 00:45:00,SN-010,line-1,23.3,55.6,1010.67,3.727,1.029,-70.9,0,normal
2024-05-01 00:48:00,SN-007,line-1,23.62,45.63,1013.68,3.7,0.224,-59.5,0,normal
2024-05-01 00:51:00,SN-002,line-2,20.81,47.85,1013.14,3.723,0.181,-58.7,0,normal
2024-05-01 00:54:00,SN-011,line-1,20.85,57.35,1008.95,3.702,1.054,-53.9,0,normal
2024-05-01 00:57:00,SN-006,warehouse,22.73,58.53,1019.82,3.702,1.609,-59.5,0,normal
2024-05-01 01:00:00,SN-007,line-1,24.15,52.11,1011.67,3.713,0.498,-62.4,0,normal
2024-05-01 01:03:00,SN-005,line-2,25.0,60.88,1009.53,3.693,0.073,-53.5,0,normal
2024-05-01 01:06:00,SN-003,warehouse,24.39,47.08,1014.34,3.711,1.009,-57.9,0,normal
2024-05-01 01:09:00,SN-012,warehouse,25.01,49.57,1012.84,3.669,1.528,-54.4,0,normal
2024-05-01 01:12:00,SN-010,line-1,23.0,54.66,1010.92,3.709,0.193,-63.2,0,normal
2024-05-01 01:15:00,SN-008,warehouse,24.35,54.74,1013.86,3.674,0.287,-60.4,0,normal
2024-05-01 01:18:00,SN-005,line-2,22.89,51.86,1011.27,3.711,0.657,-55.3,0,normal
2024-05-01 01:21:00,SN-010,line-1,24.79,48.25,1012.12,3.637,0.916,-55.3,0,normal
2024-05-01 01:24:00,SN-007,line-1,22.3,57.21,1016.65,3.663,0.786,-60.3,0,normal
2024-05-01 01:27:00,SN-006,warehouse,24.75,53.06,1013.17,3.7,0.154,-60.4,0,normal
2024-05-01 01:30:00,SN-006,warehouse,22.75,52.95,1014.5,3.701,0.542,-56.0,0,normal
2024-05-01 01:33:00,SN-003,warehouse,23.94,55.25,1011.6,3.694,0.351,-64.1,0,normal
2024-05-01 01:36:00,SN-002,line-2,25.35,51.44,1013.22,3.714,1.681,-66.0,0,normal
2024-05-01 01:39:00,SN-007,line-1,24.62,52.09,1010.94,3.718,0.745,-63.0,0,normal
2024-05-01 01:42:00,SN-011,line-1,22.56,53.79,1010.93,3.75,0.286,-52.6,0,normal
2024-05-01 01:45:00,SN-001,warehouse,23.63,50.25,1011.89,3.7,0.351,-56.7,0,normal
2024-05-01 01:48:00,SN-011,line-1,22.71,50.67,1011.23,3.72,0.298,-58.6,0,normal
2024-05-01 01:51:00,SN-010,line-1,22.5,52.45,1015.57,3.683,0.129,-63.6,0,normal
2024-05-01 01:54:00,SN-004,line-2,24.5,52.88,1014.32,3.688,0.223,-58.4,0,normal
2024-05-01 01:57:00,SN-008,warehouse,24.98,44.83,1007.12,3.683,0.412,-61.3,0,normal
2024-05-01 02:00:00,SN-002,line-2,26.3,54.91,1017.1,3.697,0.447,-53.9,0,normal
2024-05-01 02:03:00,SN-010,line-1,26.48,51.05,1014.38,3.704,0.761,-61.0,0,normal
2024-05-01 02:06:00,SN-009,line-2,25.8,47.32,1015.67,3.72,0.492,-60.7,0,normal
2024-05-01 02:09:00,SN-005,line-2,25.51,58.3,1012.4,3.706,0.982,-62.3,0,normal
2024-05-01 02:12:00,SN-001,warehouse,24.63,52.8,1009.13,3.726,0.489,-55.4,0,normal
2024-05-01 02:15:00,SN-012,warehouse,25.33,46.66,1009.52,3.726,0.827,-68.5,0,normal
2024-05-01 02:18:00,SN-006,warehouse,24.36,59.16,1017.15,3.7,0.314,-64.2,0,normal
2024-05-01 02:21:00,SN-011,line-1,24.88,57.82,1008.79,3.697,1.18,-60.4,0,normal
2024-05-01 02:24:00,SN-009,line-2,25.91,47.84,1009.19,3.669,0.828,-52.6,0,normal
2024-05-01 02:27:00,SN-010,line-1,25.68,50.39,1011.73,3.688,0.37,-63.4,0,normal
2024-05-01 02:30:00,SN-010,line-1,29.18,46.7,1009.18,3.683,0.592,-55.0,0,normal
2024-05-01 02:33:00,SN-003,warehouse,24.33,45.34,1014.22,3.684,0.36,-74.0,0,normal
2024-05-01 02:36:00,SN-005,line-2,25.68,52.99,1014.34,3.69,0.516,-65.3,0,normal
2024-05-01 02:39:00,SN-006,warehouse,24.25,56.36,1013.92,3.709,0.291,-69.5,0,normal
2024-05-01 02:42:00,SN-006,warehouse,25.39,54.58,1011.3,3.705,1.328,-58.6,0,normal
2024-05-01 02:45:00,SN-001,warehouse,25.43,52.04,1013.55,3.719,1.495,-63.0,0,normal
2024-05-01 02:48:00,SN-007,line-1,26.74,54.5,1017.22,3.707,1.105,-59.7,0,normal
2024-05-01 02:51:00,SN-002,line-2,25.32,47.47,1009.25,3.687,0.391,-59.8,0,normal
2024-05-01 02:54:00,SN-009,line-2,25.6,59.03,1015.61,3.714,0.434,-67.3,0,normal
2024-05-01 02:57:00,SN-009,line-2,25.34,48.91,1014.85,3.671,0.088,-53.7,0,normal
2024-05-01 03:00:00,SN-012,warehouse,25.51,49.19,1012.56,3.718,0.232,-55.8,0,normal
2024-05-01 03:03:00,SN-009,line-2,26.34,,1013.2,3.683,1.776,-71.2,0,normal
2024-05-01 03:06:00,SN-005,line-2,26.64,48.24,1013.66,3.653,1.678,-59.8,0,normal
2024-05-01 03:09:00,SN-012,warehouse,27.14,49.61,1010.3,3.71,1.352,-62.6,0,normal
2024-05-01 03:12:00,SN-005,line-2,27.67,48.97,1008.64,3.693,1.424,-65.3,0,normal
2024-05-01 03:15:00,SN-004,line-2,26.8,51.2,1015.03,3.722,0.201,-67.8,0,normal
2024-05-01 03:18:00,SN-011,line-1,26.78,47.42,1009.65,3.718,1.031,-56.3,0,normal
2024-05-01 03:21:00,SN-005,line-2,25.16,52.82,1010.11,3.679,0.945,-60.8,0,normal
